startdate,enddate,finished,q1,q5_1,q6,q7,q8,q9_1,q10_1,q11_1,q11_2,q12,q13_1,q13_2,q13_3,q13_4,q13_5,q14_1,q14_2,q14_3,q14_4,q16,q22_pagesubmit,q24_pagesubmit,q23_pagesubmit,q25_1,q26_1,q27_1,q28_1,q29_1
2016-06-17 14:27:57,2016-06-17 14:48:02,True,I agree,1989,Male,Single,Non-Hispanic White or Euro-American,United States,1,1,0,$3001 and more,6,8,3,7,8,Secretary of Defense,Mitch McConnell,John G. Roberts,Republican,The Supreme Court,,,192.831,10,4,2,5,7.7
2016-06-17 14:52:28,2016-06-17 15:04:05,True,I agree,1992,Female,Single,Non-Hispanic White or Euro-American,United States,7,3.5,0,$1001-$1500,6,9.1,7.3,8.5,8.2,secretary of defense,Senator McConnell,John Glover Roberts Jr.,republican ,The Supreme Court,,243.716,,8,8.6,5.6,7.2,6.4
2016-06-17 15:00:34,2016-06-17 15:12:18,True,I agree,1996,Male,Single,Latino or Hispanic American,United States,1,2,0,$1001-$1500,5,8,1,10,8.5,Secretary of Defense,Mitch McConnell,John Roberts,Republicans,The Supreme Court,467.04,,,1,10,10,7.1,1
2016-06-17 15:10:33,2016-06-17 15:25:56,True,I agree,1990,Male,Single,Non-Hispanic White or Euro-American,United States,7,3,0,$2001-$2500,8,,,9,9,Secretary of Defense,Republican,I don't know,Republican ,The Supreme Court,,,164.238,10,5,5,4,5.6
2016-06-17 15:39:28,2016-06-17 15:49:53,True,I agree,1995,Female,Single,Non-Hispanic White or Euro-American,Norway,8.1,2,0,$501-$1000,2.6,4.1,,7.8,8.5,Secretary of Defense,Mitch McConnell,John Roberts,Republicans,The Supreme Court,170.756,,,4.1,1,3.8,7.9,7.6
2016-06-17 17:27:37,2016-06-17 17:42:19,True,I agree,1988,Male,Single,Arab Middle Eastern or Arab American,Saudi Arabia,2.5,4,9,$1501-$2000,10,10,10,10,4,Secretary of Defense ,Harry Reid,John Roberts,Republicans,The Supreme Court,,260.666,,1,10,10,8,1
2016-06-17 17:33:30,2016-06-17 17:51:27,True,I agree,1996,Male,Single,Non-Hispanic White or Euro-American,United States,7,2,0,$501-$1000,7,10,5,8,5,Secretary of Defense,McConnell,Roberts,Republicans,The Supreme Court,,470.865,,4,8,9,10,3.5
2016-06-17 17:47:28,2016-06-17 17:57:51,True,I agree,1994,Male,Single,Latino or Hispanic American,United States,1,4,0,$0-$500,,,,,,,,,,The Supreme Court,,,165.288,1,7,8.5,5.5,3.7
2016-06-17 17:59:57,2016-06-17 18:10:35,True,I agree,1969,Male,Married,Non-Hispanic White or Euro-American,United States,5.5,3,0,$3001 and more,4,5,,8,4,Secretary of Defense,Mitch McConnell,John Roberts,Republicans,The Supreme Court,169.703,,,4,8,9,8.5,3.5
2016-06-17 18:17:12,2016-06-17 18:27:33,True,I agree,1987,Male,Married,Non-Hispanic White or Euro-American,United States,1,3,0,$1501-$2000,3,7,,8.1,8.9,Secretary of defense.,Mitch McConnell,John G Roberts Jr.,Republicans.,The Congress,,,162.758,1,10,10,7.1,1
2016-06-17 17:51:27,2016-06-17 18:30:14,True,I agree,1995,Male,Single,Arab Middle Eastern or Arab American,Qatar,9,2,0,Prefer not to disclose,8,9,,9,7,United states secretary of defence ,Harry Reid ,John Roberts ,Republicans,The Supreme Court,1593.03,,,2,8,9,8,1
2016-06-17 18:10:16,2016-06-17 18:36:43,True,I agree,1997,Prefer not to disclose,Prefer not to disclose,Prefer not to disclose,United States,1,3,0,$1501-$2000,1,2,1.3,1.1,1.1,Secretary of Defense,Mitch McConnel,John Roberts,republican party,The Supreme Court,,264.703,,7.1,9.1,9.5,1.7,6.4
2016-06-17 18:34:17,2016-06-17 18:52:00,True,I agree,1990,Male,Single,Non-Hispanic White or Euro-American,United States,4,3,0,$1501-$2000,7,6,,8,7,Secretary of Defense,Mitch McConnell ,John Roberts,Republican,The Supreme Court,,,162.396,6,10,10,10,1
